,time,status,model_name,model_type
25,1900-01-01 02:05:00,True,percentage_denied-rule_based,rule_based
26,1900-01-01 02:07:00,True,percentage_denied-rule_based,rule_based
27,1900-01-01 02:14:00,True,percentage_denied-rule_based,rule_based
28,1900-01-01 02:15:00,True,percentage_denied-rule_based,rule_based
29,1900-01-01 02:37:00,True,percentage_denied-rule_based,rule_based
30,1900-01-01 02:38:00,True,percentage_denied-rule_based,rule_based
31,1900-01-01 02:54:00,True,percentage_denied-rule_based,rule_based
32,1900-01-01 02:58:00,True,percentage_denied-rule_based,rule_based
33,1900-01-01 03:01:00,True,percentage_denied-rule_based,rule_based
34,1900-01-01 03:03:00,True,percentage_denied-rule_based,rule_based
35,1900-01-01 03:07:00,True,percentage_denied-rule_based,rule_based
36,1900-01-01 03:09:00,True,percentage_denied-rule_based,rule_based
37,1900-01-01 03:10:00,True,percentage_denied-rule_based,rule_based
38,1900-01-01 03:17:00,True,percentage_denied-rule_based,rule_based
39,1900-01-01 03:18:00,True,percentage_denied-rule_based,rule_based
40,1900-01-01 03:24:00,True,percentage_denied-rule_based,rule_based
41,1900-01-01 03:26:00,True,percentage_denied-rule_based,rule_based
42,1900-01-01 03:33:00,True,percentage_denied-rule_based,rule_based
43,1900-01-01 03:34:00,True,percentage_denied-rule_based,rule_based
44,1900-01-01 03:39:00,True,percentage_denied-rule_based,rule_based
45,1900-01-01 03:40:00,True,percentage_denied-rule_based,rule_based
46,1900-01-01 03:41:00,True,percentage_denied-rule_based,rule_based
47,1900-01-01 03:42:00,True,percentage_denied-rule_based,rule_based
48,1900-01-01 03:43:00,True,percentage_denied-rule_based,rule_based
49,1900-01-01 03:46:00,True,percentage_denied-rule_based,rule_based
50,1900-01-01 03:50:00,True,percentage_denied-rule_based,rule_based
51,1900-01-01 03:52:00,True,percentage_denied-rule_based,rule_based
52,1900-01-01 03:53:00,True,percentage_denied-rule_based,rule_based
53,1900-01-01 04:03:00,True,percentage_denied-rule_based,rule_based
54,1900-01-01 04:13:00,True,percentage_denied-rule_based,rule_based
55,1900-01-01 04:28:00,True,percentage_denied-rule_based,rule_based
56,1900-01-01 05:06:00,True,percentage_denied-rule_based,rule_based
57,1900-01-01 05:07:00,True,percentage_denied-rule_based,rule_based
58,1900-01-01 05:10:00,True,percentage_denied-rule_based,rule_based
59,1900-01-01 05:12:00,True,percentage_denied-rule_based,rule_based
60,1900-01-01 05:13:00,True,percentage_denied-rule_based,rule_based
