,time,status,count
156,1900-01-01 02:10:00,approved,1
157,1900-01-01 02:11:00,approved,2
158,1900-01-01 02:11:00,reversed,1
159,1900-01-01 02:12:00,approved,1
160,1900-01-01 02:14:00,denied,1
161,1900-01-01 02:15:00,approved,4
162,1900-01-01 02:15:00,denied,1
163,1900-01-01 02:17:00,approved,3
164,1900-01-01 02:18:00,approved,1
165,1900-01-01 02:19:00,approved,1
166,1900-01-01 02:20:00,approved,2
167,1900-01-01 02:21:00,approved,1
168,1900-01-01 02:22:00,approved,2
169,1900-01-01 02:23:00,approved,3
170,1900-01-01 02:24:00,approved,1
171,1900-01-01 02:25:00,approved,2
172,1900-01-01 02:26:00,approved,1
173,1900-01-01 02:27:00,approved,3
174,1900-01-01 02:28:00,approved,1
175,1900-01-01 02:29:00,approved,1
176,1900-01-01 02:30:00,approved,2
177,1900-01-01 02:31:00,approved,1
178,1900-01-01 02:32:00,approved,3
179,1900-01-01 02:33:00,approved,5
180,1900-01-01 02:35:00,approved,1
181,1900-01-01 02:36:00,approved,1
182,1900-01-01 02:37:00,denied,1
183,1900-01-01 02:37:00,approved,2
184,1900-01-01 02:38:00,denied,1
185,1900-01-01 02:39:00,approved,1
186,1900-01-01 02:40:00,approved,3
187,1900-01-01 02:41:00,approved,2
188,1900-01-01 02:42:00,approved,1
189,1900-01-01 02:43:00,approved,1
190,1900-01-01 02:44:00,approved,2
191,1900-01-01 02:45:00,approved,1
192,1900-01-01 02:46:00,approved,1
193,1900-01-01 02:47:00,approved,1
194,1900-01-01 02:48:00,approved,1
195,1900-01-01 02:49:00,approved,4
196,1900-01-01 02:50:00,approved,1
197,1900-01-01 02:51:00,approved,2
198,1900-01-01 02:52:00,approved,2
199,1900-01-01 02:53:00,approved,1
200,1900-01-01 02:54:00,denied,1
201,1900-01-01 02:56:00,approved,1
202,1900-01-01 02:58:00,denied,1
203,1900-01-01 02:58:00,approved,2
204,1900-01-01 03:01:00,denied,1
205,1900-01-01 03:02:00,approved,1
206,1900-01-01 03:03:00,approved,3
207,1900-01-01 03:03:00,denied,2
208,1900-01-01 03:06:00,approved,1
209,1900-01-01 03:07:00,approved,1
210,1900-01-01 03:07:00,denied,1
211,1900-01-01 03:08:00,approved,1
212,1900-01-01 03:09:00,denied,2
213,1900-01-01 03:10:00,denied,1
214,1900-01-01 03:14:00,approved,1
215,1900-01-01 03:15:00,approved,1
216,1900-01-01 03:17:00,denied,1
217,1900-01-01 03:17:00,approved,1
218,1900-01-01 03:18:00,denied,1
219,1900-01-01 03:20:00,approved,2
220,1900-01-01 03:24:00,denied,2
221,1900-01-01 03:26:00,denied,1
222,1900-01-01 03:28:00,approved,1
223,1900-01-01 03:29:00,approved,1
224,1900-01-01 03:30:00,approved,1
225,1900-01-01 03:33:00,denied,1
226,1900-01-01 03:33:00,approved,2
227,1900-01-01 03:34:00,denied,1
228,1900-01-01 03:34:00,approved,2
229,1900-01-01 03:34:00,reversed,1
230,1900-01-01 03:35:00,approved,6
231,1900-01-01 03:36:00,approved,1
232,1900-01-01 03:37:00,backend_reversed,1
233,1900-01-01 03:37:00,approved,1
234,1900-01-01 03:38:00,backend_reversed,1
235,1900-01-01 03:38:00,approved,2
236,1900-01-01 03:39:00,approved,2
237,1900-01-01 03:39:00,denied,1
238,1900-01-01 03:40:00,approved,2
239,1900-01-01 03:40:00,denied,1
240,1900-01-01 03:41:00,denied,1
241,1900-01-01 03:42:00,approved,2
242,1900-01-01 03:42:00,denied,2
243,1900-01-01 03:43:00,denied,3
244,1900-01-01 03:43:00,approved,1
245,1900-01-01 03:44:00,reversed,1
246,1900-01-01 03:44:00,approved,2
247,1900-01-01 03:45:00,approved,1
248,1900-01-01 03:46:00,denied,3
249,1900-01-01 03:47:00,backend_reversed,1
250,1900-01-01 03:47:00,approved,2
251,1900-01-01 03:48:00,approved,2
252,1900-01-01 03:49:00,approved,2
253,1900-01-01 03:50:00,denied,2
254,1900-01-01 03:50:00,reversed,1
255,1900-01-01 03:50:00,approved,3
256,1900-01-01 03:51:00,approved,2
257,1900-01-01 03:52:00,denied,1
258,1900-01-01 03:52:00,approved,1
259,1900-01-01 03:53:00,denied,1
260,1900-01-01 03:53:00,approved,1
261,1900-01-01 03:54:00,approved,1
262,1900-01-01 03:55:00,approved,2
263,1900-01-01 03:57:00,approved,1
264,1900-01-01 03:58:00,approved,2
265,1900-01-01 04:03:00,approved,1
266,1900-01-01 04:03:00,denied,1
267,1900-01-01 04:06:00,approved,2
268,1900-01-01 04:11:00,approved,2
269,1900-01-01 04:12:00,approved,1
270,1900-01-01 04:13:00,denied,1
271,1900-01-01 04:13:00,approved,1
272,1900-01-01 04:14:00,approved,1
273,1900-01-01 04:15:00,approved,2
274,1900-01-01 04:18:00,approved,2
275,1900-01-01 04:19:00,approved,2
276,1900-01-01 04:20:00,approved,2
277,1900-01-01 04:22:00,approved,1
278,1900-01-01 04:23:00,approved,1
279,1900-01-01 04:28:00,approved,2
280,1900-01-01 04:28:00,denied,1
281,1900-01-01 04:29:00,approved,1
282,1900-01-01 04:31:00,approved,1
283,1900-01-01 04:33:00,approved,1
284,1900-01-01 04:41:00,approved,3
285,1900-01-01 04:42:00,approved,2
286,1900-01-01 04:43:00,approved,1
287,1900-01-01 04:44:00,approved,1
288,1900-01-01 04:46:00,approved,1
289,1900-01-01 04:47:00,approved,2
290,1900-01-01 04:48:00,approved,1
291,1900-01-01 04:49:00,approved,1
292,1900-01-01 04:52:00,approved,1
293,1900-01-01 04:55:00,approved,1
294,1900-01-01 04:56:00,approved,1
295,1900-01-01 04:58:00,approved,2
296,1900-01-01 05:00:00,approved,1
297,1900-01-01 05:01:00,approved,3
298,1900-01-01 05:02:00,approved,2
299,1900-01-01 05:04:00,approved,1
300,1900-01-01 05:05:00,approved,1
301,1900-01-01 05:06:00,denied,1
302,1900-01-01 05:06:00,approved,2
303,1900-01-01 05:07:00,denied,1
304,1900-01-01 05:07:00,approved,1
305,1900-01-01 05:08:00,approved,1
306,1900-01-01 05:09:00,approved,1
307,1900-01-01 05:10:00,denied,1
308,1900-01-01 05:12:00,approved,1
309,1900-01-01 05:12:00,denied,1
310,1900-01-01 05:13:00,approved,2
311,1900-01-01 05:13:00,denied,1
312,1900-01-01 05:14:00,approved,1
313,1900-01-01 05:15:00,denied,1
314,1900-01-01 05:15:00,approved,2
315,1900-01-01 05:16:00,approved,2
316,1900-01-01 05:17:00,approved,3
317,1900-01-01 05:18:00,approved,2
318,1900-01-01 05:19:00,approved,1
319,1900-01-01 05:21:00,approved,4
320,1900-01-01 05:22:00,approved,5
321,1900-01-01 05:23:00,approved,2
322,1900-01-01 05:25:00,approved,3
323,1900-01-01 05:25:00,denied,1
324,1900-01-01 05:26:00,approved,3
325,1900-01-01 05:27:00,denied,2
326,1900-01-01 05:27:00,approved,2
327,1900-01-01 05:28:00,denied,1
328,1900-01-01 05:28:00,approved,4
329,1900-01-01 05:30:00,approved,5
330,1900-01-01 05:31:00,approved,3
331,1900-01-01 05:32:00,approved,3
332,1900-01-01 05:32:00,denied,2
333,1900-01-01 05:33:00,approved,5
334,1900-01-01 05:34:00,denied,3
335,1900-01-01 05:34:00,approved,4
336,1900-01-01 05:35:00,denied,1
337,1900-01-01 05:35:00,approved,5
338,1900-01-01 05:36:00,approved,5
339,1900-01-01 05:36:00,refunded,1
340,1900-01-01 05:36:00,denied,2
341,1900-01-01 05:37:00,denied,2
342,1900-01-01 05:37:00,approved,12
343,1900-01-01 05:38:00,denied,3
344,1900-01-01 05:38:00,approved,7
345,1900-01-01 05:39:00,approved,2
346,1900-01-01 05:40:00,approved,9
347,1900-01-01 05:40:00,denied,1
348,1900-01-01 05:41:00,approved,4
349,1900-01-01 05:42:00,denied,1
350,1900-01-01 05:42:00,approved,7
351,1900-01-01 05:43:00,approved,7
352,1900-01-01 05:44:00,approved,7
353,1900-01-01 05:44:00,reversed,1
354,1900-01-01 05:44:00,denied,1
355,1900-01-01 05:45:00,approved,4
356,1900-01-01 05:45:00,denied,2
357,1900-01-01 05:46:00,approved,7
358,1900-01-01 05:46:00,denied,1
359,1900-01-01 05:47:00,denied,3
360,1900-01-01 05:47:00,approved,6
361,1900-01-01 05:48:00,denied,2
362,1900-01-01 05:48:00,approved,5
363,1900-01-01 05:49:00,backend_reversed,1
364,1900-01-01 05:49:00,approved,10
365,1900-01-01 05:49:00,denied,2
366,1900-01-01 05:49:00,reversed,1
367,1900-01-01 05:50:00,approved,9
368,1900-01-01 05:51:00,approved,6
369,1900-01-01 05:51:00,reversed,1
370,1900-01-01 05:52:00,approved,9
371,1900-01-01 05:52:00,denied,2
372,1900-01-01 05:53:00,denied,2
373,1900-01-01 05:53:00,approved,8
374,1900-01-01 05:53:00,reversed,1
375,1900-01-01 05:54:00,approved,11
376,1900-01-01 05:55:00,approved,9
377,1900-01-01 05:55:00,backend_reversed,1
378,1900-01-01 05:55:00,denied,1
379,1900-01-01 05:55:00,reversed,1
380,1900-01-01 05:56:00,approved,5
381,1900-01-01 05:57:00,denied,1
382,1900-01-01 05:57:00,approved,12
383,1900-01-01 05:57:00,reversed,1
384,1900-01-01 05:58:00,denied,3
385,1900-01-01 05:58:00,approved,10
386,1900-01-01 05:59:00,approved,10
387,1900-01-01 05:59:00,denied,1
388,1900-01-01 06:00:00,approved,12
389,1900-01-01 06:01:00,denied,2
390,1900-01-01 06:01:00,backend_reversed,1
391,1900-01-01 06:01:00,approved,7
392,1900-01-01 06:02:00,approved,12
393,1900-01-01 06:02:00,denied,3
394,1900-01-01 06:03:00,denied,2
395,1900-01-01 06:03:00,refunded,1
396,1900-01-01 06:03:00,approved,11
397,1900-01-01 06:03:00,reversed,1
398,1900-01-01 06:04:00,denied,3
399,1900-01-01 06:04:00,approved,20
400,1900-01-01 06:05:00,approved,18
401,1900-01-01 06:05:00,denied,2
402,1900-01-01 06:06:00,approved,19
403,1900-01-01 06:06:00,denied,6
404,1900-01-01 06:07:00,approved,17
405,1900-01-01 06:07:00,denied,3
406,1900-01-01 06:08:00,approved,18
407,1900-01-01 06:08:00,denied,3
408,1900-01-01 06:09:00,approved,19
409,1900-01-01 06:10:00,approved,15
410,1900-01-01 06:10:00,denied,4
411,1900-01-01 06:11:00,approved,12
412,1900-01-01 06:12:00,approved,22
413,1900-01-01 06:12:00,denied,1
414,1900-01-01 06:13:00,approved,19
415,1900-01-01 06:14:00,approved,23
416,1900-01-01 06:14:00,denied,1
417,1900-01-01 06:15:00,approved,14
418,1900-01-01 06:15:00,denied,2
419,1900-01-01 06:16:00,denied,2
420,1900-01-01 06:16:00,approved,18
421,1900-01-01 06:17:00,approved,23
422,1900-01-01 06:18:00,approved,23
423,1900-01-01 06:19:00,approved,22
424,1900-01-01 06:20:00,denied,3
425,1900-01-01 06:20:00,approved,29
426,1900-01-01 06:20:00,reversed,1
427,1900-01-01 06:21:00,approved,25
428,1900-01-01 06:21:00,denied,3
429,1900-01-01 06:22:00,approved,33
430,1900-01-01 06:22:00,denied,2
431,1900-01-01 06:23:00,approved,17
432,1900-01-01 06:23:00,denied,4
433,1900-01-01 06:24:00,approved,33
434,1900-01-01 06:24:00,denied,2
435,1900-01-01 06:25:00,denied,1
436,1900-01-01 06:25:00,approved,28
437,1900-01-01 06:26:00,denied,2
438,1900-01-01 06:26:00,approved,32
439,1900-01-01 06:27:00,approved,19
440,1900-01-01 06:27:00,refunded,1
441,1900-01-01 06:27:00,reversed,1
442,1900-01-01 06:27:00,denied,4
443,1900-01-01 06:28:00,approved,25
444,1900-01-01 06:28:00,denied,3
445,1900-01-01 06:29:00,approved,37
446,1900-01-01 06:29:00,denied,1
447,1900-01-01 06:30:00,denied,3
448,1900-01-01 06:30:00,approved,29
449,1900-01-01 06:31:00,approved,23
450,1900-01-01 06:31:00,denied,5
451,1900-01-01 06:32:00,approved,42
452,1900-01-01 06:32:00,denied,4
453,1900-01-01 06:33:00,denied,6
454,1900-01-01 06:33:00,approved,28
455,1900-01-01 06:34:00,approved,38
456,1900-01-01 06:34:00,denied,5
457,1900-01-01 06:35:00,denied,5
458,1900-01-01 06:35:00,approved,44
459,1900-01-01 06:36:00,denied,5
460,1900-01-01 06:36:00,approved,34
461,1900-01-01 06:36:00,reversed,1
462,1900-01-01 06:37:00,denied,5
463,1900-01-01 06:37:00,approved,34
464,1900-01-01 06:38:00,denied,5
465,1900-01-01 06:38:00,approved,43
466,1900-01-01 06:39:00,approved,33
467,1900-01-01 06:39:00,denied,3
468,1900-01-01 06:40:00,denied,1
469,1900-01-01 06:40:00,approved,32
470,1900-01-01 06:41:00,approved,37
471,1900-01-01 06:41:00,denied,3
472,1900-01-01 06:42:00,backend_reversed,1
473,1900-01-01 06:42:00,approved,45
474,1900-01-01 06:42:00,reversed,1
475,1900-01-01 06:42:00,denied,2
476,1900-01-01 06:43:00,approved,36
477,1900-01-01 06:43:00,denied,8
478,1900-01-01 06:44:00,denied,3
479,1900-01-01 06:44:00,approved,43
480,1900-01-01 06:45:00,approved,34
481,1900-01-01 06:45:00,denied,1
482,1900-01-01 06:46:00,approved,34
483,1900-01-01 06:46:00,reversed,1
484,1900-01-01 06:46:00,denied,3
485,1900-01-01 06:47:00,approved,34
486,1900-01-01 06:47:00,denied,5
487,1900-01-01 06:47:00,backend_reversed,1
488,1900-01-01 06:48:00,approved,47
489,1900-01-01 06:48:00,denied,5
490,1900-01-01 06:48:00,reversed,1
491,1900-01-01 06:49:00,denied,4
492,1900-01-01 06:49:00,approved,54
493,1900-01-01 06:50:00,approved,49
494,1900-01-01 06:50:00,denied,4
495,1900-01-01 06:51:00,approved,55
496,1900-01-01 06:51:00,denied,1
497,1900-01-01 06:51:00,reversed,1
498,1900-01-01 06:52:00,approved,57
499,1900-01-01 06:52:00,denied,4
500,1900-01-01 06:53:00,denied,11
501,1900-01-01 06:53:00,approved,54
